seed,mse_mean_D,control_mean_D,delta_mean_D,mse_p95_D,control_p95_D,delta_p95_D,mse_viability_occupancy,control_viability_occupancy,delta_viability_occupancy,mse_severe_fraction,control_severe_fraction,delta_severe_fraction,mse_action_agreement,control_action_agreement,delta_action_agreement,mse_cumulative_task,control_cumulative_task,delta_cumulative_task
2376253214,0.02397299752979003,0.021201606483081347,-0.0027713910467086836,0.051807208237114655,0.038768488700341226,-0.013038719536773428,0.9425,0.9825,0.040000000000000036,0.0,0.0,0.0,0.605,0.5975,-0.007499999999999951,202.46186307165488,196.03987239432263,-6.421990677332246
191148313,0.02410050993009402,0.02067313717913647,-0.0034273727509575476,0.051778690911803454,0.03734617453680341,-0.014432516375000044,0.94,0.9825,0.04250000000000009,0.0,0.0,0.0,0.605,0.615,0.010000000000000009,199.0312619896286,193.46721779720136,-5.564044192427247
1630404654,0.024119200668023796,0.020134875519337375,-0.003984325148686421,0.05021113041575851,0.03840959499928349,-0.011801535416475023,0.945,0.9775,0.032500000000000084,0.0,0.0,0.0,0.6,0.62,0.020000000000000018,196.3660881315247,190.47592355302794,-5.890164578496751
537698647,0.02474421117975032,0.02177366046711362,-0.002970550712636702,0.05668978421147173,0.04234705888105363,-0.014342725330418096,0.92,0.9675,0.04749999999999999,0.0,0.0,0.0,0.5975,0.59,-0.007500000000000062,194.8373387919524,191.1437608225258,-3.693577969426599
1977506975,0.025378096885919854,0.021891664577029193,-0.0034864323088906607,0.058945874327810725,0.04301651191150178,-0.015929362416308948,0.91,0.9575,0.04749999999999999,0.0,0.0,0.0,0.6125,0.6525,0.039999999999999925,189.04324343357706,185.63745983752997,-3.405783596047087
626789455,0.02336343127753265,0.019932236553986075,-0.0034311947235465753,0.0492688053945872,0.0357806642200593,-0.013488141174527901,0.95,0.99,0.040000000000000036,0.0,0.0,0.0,0.6225,0.6575,0.03499999999999992,199.25653059781646,194.06143263800513,-5.195097959811335
1348882116,0.024522378626021607,0.020966429055136702,-0.0035559495708849045,0.05020377191559938,0.03961544702382974,-0.01058832489176964,0.9475,0.98,0.03249999999999997,0.0,0.0,0.0,0.6225,0.5925,-0.030000000000000027,193.36935527321913,191.355339462923,-2.014015810296115
1490640927,0.023301741603407856,0.020175162458336914,-0.0031265791450709422,0.05036300889618957,0.035719213729624076,-0.014643795166565492,0.945,0.99,0.04500000000000004,0.0,0.0,0.0,0.61,0.6425,0.03249999999999997,197.04509003681943,193.90678383490769,-3.138306201911746
3437423915,0.024931791268840056,0.02113319598893015,-0.003798595279909906,0.05550676115436635,0.04124159420805636,-0.014265166946309984,0.92,0.97,0.04999999999999993,0.0,0.0,0.0,0.5825,0.64,0.057499999999999996,193.02666542122736,187.85058210807895,-5.1760833131484105
2449930701,0.02431048164410059,0.02091900113948986,-0.0033914805046107305,0.0564258885469807,0.038813604804792984,-0.017612283742187713,0.9225,0.975,0.05249999999999999,0.0,0.0,0.0,0.6125,0.6525,0.039999999999999925,196.49845346586784,191.39882020609866,-5.099633259769178
