seed,method,condition,lambda_task,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3847042368,boundary_aware,strong,0.018,0.0318076761642075,0.0848113225420973,0.8075,0.0,0.4175,185.62662795487745
3847042368,boundary_aware,strong,0.02,0.0322145883110737,0.0845236966240725,0.8225,0.0,0.43,188.3962209745614
3847042368,boundary_aware,strong,0.022,0.0337058143858836,0.0884663197317722,0.795,0.0,0.4375,190.80094713149103
3847042368,boundary_aware,strong,0.026,0.039696802779793,0.1038209137343324,0.74,0.0,0.4775,192.41552421626005
3847042368,boundary_aware,strong,0.03,0.0489283398735727,0.1128400060422694,0.59,0.0,0.445,195.66293103796303
3847042368,boundary_aware,strong,0.036,0.058180547555192,0.1345081083091137,0.53,0.01,0.48,198.2017622853235
3847042368,robust_control_aware,moderate,0.01,0.0137785839118097,0.0294168664449313,0.995,0.0,0.5175,183.1515528166915
3847042368,robust_control_aware,moderate,0.014,0.0164014979939113,0.0339002602470077,0.98,0.0,0.525,188.47788579617665
3847042368,robust_control_aware,moderate,0.018,0.0177715779632602,0.0363270316472585,0.98,0.0,0.61,187.4367996892254
3847042368,robust_control_aware,moderate,0.02,0.0197689121685851,0.041522530092842,0.9675,0.0,0.5825,189.6421947040853
3847042368,robust_control_aware,moderate,0.022,0.0197662360788952,0.0412445281678927,0.9725,0.0,0.61,188.49081887735144
3847042368,robust_control_aware,moderate,0.026,0.0234168554562824,0.0540762365735989,0.94,0.0,0.575,193.25389199491536
3847042368,robust_control_aware,moderate,0.03,0.0281235644290923,0.0741670886759915,0.89,0.0,0.53,195.23777933712267
3847042368,robust_control_aware,moderate,0.036,0.0354522352429678,0.1010571319744908,0.8125,0.005,0.515,195.65537153176888
3847042368,robust_control_aware,strong,0.01,0.0229758902696909,0.0827550026338827,0.885,0.0,0.4575,176.5558958504113
3847042368,robust_control_aware,strong,0.014,0.024175902146833,0.0770696363868453,0.8975,0.0,0.475,185.00804148757692
3847042368,robust_control_aware,strong,0.018,0.0301688738976345,0.1060652680480673,0.82,0.0,0.4725,188.7963712600968
3847042368,robust_control_aware,strong,0.02,0.03034156187948,0.101409850124126,0.8475,0.0,0.5175,191.62041413073985
3847042368,robust_control_aware,strong,0.022,0.0324380856358775,0.1006576069091278,0.82,0.0,0.5175,193.0885312366742
3847042368,robust_control_aware,strong,0.026,0.0447073557773265,0.1424883251232611,0.7275,0.01,0.4825,190.03199393804573
3847042368,robust_control_aware,strong,0.03,0.0510650093483268,0.1375565682545907,0.635,0.0075,0.4575,197.04392521054424
3847042368,robust_control_aware,strong,0.036,0.0602598698280407,0.1543706605000929,0.5225,0.01,0.4525,196.1793959238546
3829224378,boundary_aware,moderate,0.01,0.0116653376021742,0.0283530721715156,0.9975,0.0,0.445,180.64177654967895
3829224378,boundary_aware,moderate,0.014,0.0145954754679503,0.0364047848432597,0.99,0.0,0.4925,184.70390608318252
3829224378,boundary_aware,moderate,0.018,0.0175022563414803,0.0406182187764663,0.9925,0.0,0.5425,188.64234630248347
3829224378,boundary_aware,moderate,0.02,0.021047752623362,0.0504275924990684,0.945,0.0,0.5125,194.86807795788565
3829224378,boundary_aware,moderate,0.022,0.0224698378307151,0.051490637895812,0.9425,0.0,0.5275,193.06071524816863
3829224378,boundary_aware,moderate,0.026,0.0259816195471261,0.0597900555419685,0.905,0.0,0.54,197.159633891613
3829224378,boundary_aware,moderate,0.03,0.0298456358212406,0.0694856170574951,0.86,0.0,0.5625,199.90494439495427
3829224378,boundary_aware,moderate,0.036,0.0374861346038572,0.0800857885694051,0.7325,0.0,0.58,203.0914030193641
3829224378,boundary_aware,strong,0.01,0.0152636308817621,0.0398702153700569,0.9775,0.0,0.4175,177.17369300120367
3829224378,boundary_aware,strong,0.014,0.0181700049721713,0.0458251332957367,0.97,0.0,0.4475,182.37631447733645
3829224378,boundary_aware,strong,0.018,0.0218368056702908,0.0521609252938717,0.935,0.0,0.49,190.06108866042788
3829224378,boundary_aware,strong,0.02,0.0226271347592362,0.0508400056901678,0.945,0.0,0.51,188.25208341512928
3829224378,boundary_aware,strong,0.022,0.0244909657271021,0.0573933290879237,0.9075,0.0,0.5025,190.67460644413308
3829224378,boundary_aware,strong,0.026,0.0283033619471618,0.0682979212664873,0.865,0.0,0.485,193.7271846574654
3829224378,boundary_aware,strong,0.03,0.0316090371115998,0.0723028681059063,0.8175,0.0,0.5125,196.14613420562392
3829224378,boundary_aware,strong,0.036,0.0389769526469579,0.0854899070971371,0.7225,0.0,0.5125,200.8563380289807
3829224378,robust_control_aware,moderate,0.01,0.0137234036811124,0.0300230382903922,0.9925,0.0,0.4625,185.3191598137234
3829224378,robust_control_aware,moderate,0.014,0.0162530883111315,0.0334175080883528,0.9875,0.0,0.5175,185.03108224834543
3829224378,robust_control_aware,moderate,0.018,0.0179195009521842,0.0357523324420624,0.9825,0.0,0.59,187.33521860714336
3829224378,robust_control_aware,moderate,0.02,0.0182620866474309,0.0382790891637335,0.9925,0.0,0.585,186.9178809651896
3829224378,robust_control_aware,moderate,0.022,0.0191592111181889,0.0361870643619422,0.99,0.0,0.5825,187.5124735287779
3829224378,robust_control_aware,moderate,0.026,0.021330518533989,0.0448586155243653,0.965,0.0,0.555,190.6300199232692
3829224378,robust_control_aware,moderate,0.03,0.0241716090415952,0.0528547807503947,0.94,0.0,0.55,192.1150399058252
3829224378,robust_control_aware,moderate,0.036,0.0321613357192392,0.0898651683174585,0.855,0.0,0.52,197.83426794299635
3829224378,robust_control_aware,strong,0.01,0.016568033916614,0.0404918041873291,0.97,0.0,0.445,187.65015752348475
3829224378,robust_control_aware,strong,0.014,0.0193790363805727,0.0450290756820463,0.9725,0.0,0.4475,188.43623261844533
3829224378,robust_control_aware,strong,0.018,0.0228995020613665,0.0528024442970176,0.9325,0.0,0.47,191.56792645561157
3829224378,robust_control_aware,strong,0.02,0.0249323522180033,0.0613270805626243,0.915,0.0,0.505,192.69147249371235
3829224378,robust_control_aware,strong,0.022,0.0256267974490176,0.0659284629387907,0.9125,0.0,0.525,192.86618101898347
3829224378,robust_control_aware,strong,0.026,0.0330399337704435,0.0927254508348145,0.82,0.0,0.5325,194.5809250906645
3829224378,robust_control_aware,strong,0.03,0.0383690599032997,0.1041820315996701,0.765,0.005,0.4825,197.3347851478374
3829224378,robust_control_aware,strong,0.036,0.0533476698942777,0.1357484841895136,0.5975,0.01,0.525,201.6805696967446
3027910210,boundary_aware,moderate,0.01,0.0158012754986561,0.0405796322699387,0.985,0.0,0.465,173.89619756096317
3027910210,boundary_aware,moderate,0.014,0.0197502403708478,0.0495082847891069,0.95,0.0,0.47,177.0308283470368
3027910210,boundary_aware,moderate,0.018,0.0237065002588669,0.0568785436251442,0.9225,0.0,0.51,181.5813053072628
3027910210,boundary_aware,moderate,0.02,0.0267152596673829,0.0622918273719429,0.88,0.0,0.49,182.82858356019412
3027910210,boundary_aware,moderate,0.022,0.0291761296933968,0.0698344016752788,0.8575,0.0,0.5,183.84873958224927
3027910210,boundary_aware,moderate,0.026,0.0353637423069607,0.0803919763245361,0.77,0.0,0.5375,188.41212634020903
3027910210,boundary_aware,moderate,0.03,0.0408542379086509,0.0939811772244714,0.72,0.0,0.505,190.68719851315717
3027910210,boundary_aware,moderate,0.036,0.0543284264445708,0.1289431279275762,0.5225,0.0,0.53,194.0788310544347
3027910210,boundary_aware,strong,0.01,0.0294116758042548,0.0845739606194474,0.8325,0.0,0.4325,171.07387365061595
3027910210,boundary_aware,strong,0.014,0.0371060542162561,0.0970254557323773,0.755,0.0,0.4125,173.51420720921698
3027910210,boundary_aware,strong,0.018,0.0452983030087106,0.1221471834769065,0.655,0.0025,0.45,180.5046465054388
3027910210,boundary_aware,strong,0.02,0.0474426090945685,0.1243541690085062,0.63,0.0075,0.435,180.18186804198297
3027910210,boundary_aware,strong,0.022,0.0511974576457613,0.1338103990379138,0.5925,0.0,0.455,182.10879780645985
3027910210,boundary_aware,strong,0.026,0.0612909454746716,0.1471207941596587,0.495,0.01,0.4125,184.592127377074
3027910210,boundary_aware,strong,0.03,0.0746668956297296,0.1638492924213692,0.34,0.0225,0.4225,184.58053391476275
3027910210,boundary_aware,strong,0.036,0.0860808869214737,0.1865386388021027,0.2775,0.0425,0.4325,185.94411376671215
3027910210,robust_control_aware,moderate,0.01,0.017011173508169,0.0361461369044948,0.9775,0.0,0.4675,177.1681602440424
3027910210,robust_control_aware,moderate,0.014,0.0185590454804675,0.0406851351384413,0.97,0.0,0.5425,178.21018951657572
3027910210,robust_control_aware,moderate,0.018,0.0205018787773901,0.0437921818910609,0.9725,0.0,0.635,180.8129699107224
3027910210,robust_control_aware,moderate,0.02,0.0210691403686281,0.0466474311071118,0.9575,0.0,0.61,180.26602284999063
3027910210,robust_control_aware,moderate,0.022,0.0232456203206379,0.0555942478119343,0.945,0.0,0.62,183.15547039420653
3027910210,robust_control_aware,moderate,0.026,0.026345598754777,0.0646317739110582,0.9075,0.0,0.5975,184.5321316669561
3027910210,robust_control_aware,moderate,0.03,0.0316285786571164,0.0816746063666456,0.855,0.005,0.5625,186.37551886110555
3027910210,robust_control_aware,moderate,0.036,0.0483355567718805,0.1348434581690029,0.6775,0.005,0.595,188.0439305738773
3027910210,robust_control_aware,strong,0.01,0.0314085821012914,0.0918335970715162,0.8075,0.0,0.4825,172.39284173843188
3027910210,robust_control_aware,strong,0.014,0.0327943537386678,0.0907894971407452,0.8075,0.0,0.475,178.3838464431766
3027910210,robust_control_aware,strong,0.018,0.0403794281512069,0.1066733772900972,0.7225,0.0,0.485,180.9117824600469
3027910210,robust_control_aware,strong,0.02,0.0492339882152817,0.1289730173751647,0.6175,0.0025,0.47,181.18949391011165
3027910210,robust_control_aware,strong,0.022,0.0523017965910612,0.1301830096950704,0.575,0.0025,0.485,186.53283487722143
3027910210,robust_control_aware,strong,0.026,0.0635880096052535,0.1407680192923894,0.46,0.0075,0.4825,186.24722746120352
3027910210,robust_control_aware,strong,0.03,0.0807302588684968,0.1800325896789903,0.325,0.025,0.475,185.23660391464117
3027910210,robust_control_aware,strong,0.036,0.0960584275861969,0.2031304359171331,0.24,0.055,0.4625,188.62524917209345
3415729576,boundary_aware,moderate,0.01,0.013390780080207,0.0337730841659273,0.9875,0.0,0.4625,187.4515532046005
3415729576,boundary_aware,moderate,0.014,0.0167903110502913,0.0405127515711273,0.9775,0.0,0.5075,187.9332394923192
3415729576,boundary_aware,moderate,0.018,0.0203739264039663,0.0483867654392899,0.9525,0.0,0.555,190.0257926306052
3415729576,boundary_aware,moderate,0.02,0.0214657945708985,0.0528545060302611,0.9375,0.0,0.5375,195.5721208524606
3415729576,boundary_aware,moderate,0.022,0.023184964721072,0.0537851605357454,0.9375,0.0,0.5725,191.17704576786028
3415729576,boundary_aware,moderate,0.026,0.0290898800137777,0.0674746320593599,0.8725,0.0,0.55,196.15620099845532
3415729576,boundary_aware,moderate,0.03,0.031984087831608,0.0675382185017559,0.825,0.0,0.5675,196.64142458003352
3415729576,boundary_aware,moderate,0.036,0.0396797905336352,0.0966974658512106,0.7225,0.0,0.55,203.45293458822596
3415729576,boundary_aware,strong,0.01,0.0178611043604096,0.0474669849257852,0.955,0.0,0.455,181.2801105208339
3415729576,boundary_aware,strong,0.014,0.0209278042399559,0.0529168602210324,0.9375,0.0,0.465,180.90326952939856
3415729576,boundary_aware,strong,0.018,0.0253218959816583,0.0632759004241312,0.9075,0.0,0.45,183.3979401711033
3415729576,boundary_aware,strong,0.02,0.0251231679533398,0.0583690476023455,0.9,0.0,0.4775,185.503650995385
3415729576,boundary_aware,strong,0.022,0.0297339059058719,0.0711964041479234,0.8375,0.0,0.455,188.2855214620039
