seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
2076693313,robust_control_aware,moderate,0.020336923391466703,0.052726408189442575,0.935,0.0,0.435,196.7304657054874
2076693313,robust_control_aware,strong,0.024238318841231753,0.06273971857583568,0.9,0.0,0.425,187.14759949883464
2098456718,boundary_aware,moderate,0.029464349957611328,0.0710936044286518,0.84,0.0,0.475,185.5114283768486
2098456718,boundary_aware,strong,0.03609213237928963,0.08511905408529719,0.7825,0.0,0.4525,179.12416632807194
2098456718,robust_control_aware,moderate,0.021126278261677334,0.057429265958284285,0.92,0.0,0.4475,189.5604482863039
2098456718,robust_control_aware,strong,0.02830450504845972,0.07453164029661792,0.84,0.0,0.44,183.76786239370193
2038284347,boundary_aware,moderate,0.028587103270644895,0.07188228710198583,0.8475,0.0,0.475,187.68619375131
2038284347,boundary_aware,strong,0.035530183667899826,0.08984033148540188,0.745,0.0,0.425,185.17223709559045
2038284347,robust_control_aware,moderate,0.019587305856921942,0.05431814370079586,0.92,0.0,0.4625,189.8250468782489
2038284347,robust_control_aware,strong,0.025628084868024478,0.07010963194238358,0.8775,0.0,0.4225,187.08472870493063
2026220353,boundary_aware,moderate,0.029019413938994924,0.06773381954265911,0.85,0.0,0.4875,188.9471392696234
2026220353,boundary_aware,strong,0.03625065190761013,0.09287801282119611,0.755,0.0,0.4325,176.9621073339789
2026220353,robust_control_aware,moderate,0.01978023449951928,0.053027693247605735,0.945,0.0,0.4425,189.58408255198788
2026220353,robust_control_aware,strong,0.02733455594528593,0.07369958451527141,0.86,0.0,0.4375,175.26023272567147
2096456210,boundary_aware,moderate,0.03016417386627991,0.06805306687519114,0.85,0.0,0.4825,187.6876042259505
2096456210,boundary_aware,strong,0.03988541570026209,0.09267705838344932,0.7325,0.0,0.45,177.94566411399438
2096456210,robust_control_aware,moderate,0.02097766801025694,0.05595225135746424,0.9275,0.0,0.4475,190.14738493443951
2096456210,robust_control_aware,strong,0.027852305000590487,0.07100951307839065,0.8525,0.0,0.455,181.45678770047547
2145488770,boundary_aware,moderate,0.027254246248473866,0.06786202446848419,0.835,0.0,0.4675,189.19635637311976
2145488770,boundary_aware,strong,0.030801130594649107,0.07161280354895298,0.82,0.0,0.4375,183.21771138071887
2145488770,robust_control_aware,moderate,0.018867490237597147,0.05300075786964247,0.94,0.0,0.44,192.28566273306703
2145488770,robust_control_aware,strong,0.025139513852289238,0.06281349789688041,0.8825,0.0,0.4325,187.15882471590282
2084858291,boundary_aware,moderate,0.02932468053712817,0.07297056808733478,0.85,0.0025,0.485,191.7049556799896
2084858291,boundary_aware,strong,0.04076949749445971,0.09927795487636948,0.69,0.0025,0.4275,185.63354618605172
