seed,boundary_taskmatched_D,robust_taskmatched_D,delta
3355552449,0.03156249151250383,0.025665636999366345,-0.005896854513137484
3688259442,0.03295560047183021,0.03168978532882031,-0.001265815143009899
3619683170,0.023192583886638155,0.019780853092918257,-0.003411730793719897
3321522469,0.026653954480510354,0.02162011077751239,-0.005033843702997965
3284110371,0.027373725161000836,0.020563139037610582,-0.006810586123390253
3192825773,0.0286385760826325,0.03930053701059505,0.010661960927962549
3541583164,0.017136089939219105,0.017177243823574773,4.115388435566719e-05
3592523615,0.027440309887286834,0.022531667021113803,-0.00490864286617303
3098044051,0.025767037012167912,0.019590860427544987,-0.006176176584622925
3001635530,0.026664778030738148,0.02155437027879551,-0.0051104077519426375
3739170353,0.02216012341023644,0.02112871201557471,-0.0010314113946617298
3112972819,0.025378330116047815,0.021644431213329842,-0.0037338989027179727
3411252841,0.03210093698741141,0.024532837439456185,-0.007568099547955228
3230331442,0.02447729945083664,0.019466580065243162,-0.005010719385593478
3091721699,0.02851762700369665,0.02703640854035636,-0.0014812184633402892
3055558552,0.020998428072149352,0.0171646508233272,-0.0038337772488221504
3276966135,0.02554844133510715,0.020942421641002587,-0.004606019694104561
3494738899,0.026821041475772023,0.023533249948863008,-0.0032877915269090147
3100616982,0.026618257722566024,0.021018272379505203,-0.005599985343060821
3300334751,0.02721716708431888,0.020650533762259518,-0.006566633322059361
