seed,condition,boundary_taskmatched_D,robust_taskmatched_D,delta,task_overlap_low,task_overlap_high
3008578821,strong,0.02866779438696977,0.02107633773195505,-0.007591456655014725,181.1760016387072,197.51476602819287
3825432642,moderate,0.021526396762972133,0.021552564226597935,2.6167463625801835e-05,186.26519770201503,194.81330157190973
3825432642,strong,0.03175427942300226,0.023036940302543732,-0.00871733912045853,182.49113058774657,196.57533708668808
3133163495,moderate,0.019748739319180367,0.017934540376954793,-0.0018141989422255787,189.11676835379825,199.880583734526
3133163495,strong,0.023654199913594638,0.019486295205275672,-0.004167904708318961,181.51239613399696,198.4733771519266
3223282721,moderate,0.018955503870671866,0.019977399434526068,0.001021895563854206,178.0498267633239,186.72539514159573
3223282721,strong,0.029663313902459295,0.02356905236866209,-0.006094261533797208,174.89743160775868,190.440145253296
3015764885,moderate,0.019815566514592455,0.01971595464007829,-9.961187451416146e-05,181.05463727022857,191.39548316912212
3015764885,strong,0.025573726360045995,0.020595666143967344,-0.004978060216078643,174.7258816641089,192.53614882056263
3146805131,moderate,0.020405669177245924,0.01790101055235348,-0.0025046586248924445,181.7322197763073,189.97860845747755
3146805131,strong,0.025943236280858446,0.01808950537952843,-0.007853730901330019,179.40805690847537,190.03816424162235
3279137197,moderate,0.01921197977363808,0.01837940472215651,-0.0008325750514815704,184.57944177176785,189.14488470271155
3279137197,strong,0.025736339704817496,0.020088106191690616,-0.005648233513126885,175.99727047814264,194.20616668166457
3829287145,moderate,0.020154349687709714,0.02087211782336432,0.0007177681356546012,184.1268128819563,193.2292719622783
3829287145,strong,0.02514775171066876,0.020850646383863358,-0.004297105326805401,181.1188034780466,194.1217860469048
3233603356,moderate,0.027723418009629047,0.02498231410485291,-0.0027411039047761394,180.33986538941767,196.47751643854963
3233603356,strong,0.04626386984112483,0.05266436397730347,0.006400494136178646,185.03122738527537,195.15309988439677
3224262746,moderate,0.019105036600221618,0.02105763118370213,0.0019525945834805145,193.07336151034775,201.0862205481309
3224262746,strong,0.03213383820046949,0.0229817350602227,-0.009152103140246792,187.66310894354444,204.48281773062868
3334722169,moderate,0.021818434736237353,0.020388207118087615,-0.0014302276181497357,183.55998541208132,200.7705143931231
3334722169,strong,0.03408224793870751,0.030775514581736756,-0.0033067333569707573,184.24148989981347,200.84890499340813
3165476145,moderate,0.020115724304970967,0.018697489292893978,-0.0014182350120769895,185.3364038680576,195.97704228166145
3165476145,strong,0.030458515471131847,0.023802690785569906,-0.006655824685561939,185.17375816457024,197.94520073198856
3430742932,moderate,0.02265060509854001,0.023102966752348027,0.0004523616538080142,176.82581584437614,190.49393685788505
3430742932,strong,0.037163258983515725,0.03023151467666241,-0.006931744306853314,173.32082029727866,193.9841607039337
3376123110,moderate,0.023417645431352652,0.020949973940190318,-0.0024676714911623363,186.97516863592125,196.25011658579507
3376123110,strong,0.03096496396747428,0.024933928340171108,-0.006031035627303178,183.73457656364891,192.95503823939907
3601391430,moderate,0.020212501631209422,0.021069323276479476,0.0008568216452700552,180.91893142343088,195.3404692291758
3601391430,strong,0.02935032965183709,0.024913883980635012,-0.004436445671202071,180.143030077886,195.71146150456704
3949373273,moderate,0.020532592807708097,0.019397580221688738,-0.0011350125860193577,195.5418701141683,200.93757779744976
3949373273,strong,0.03463397586695526,0.02454805871649851,-0.01008591715045675,192.35863717438409,203.84855924449272
3740935724,moderate,0.018928117231944333,0.021035020285678756,0.0021069030537344256,186.87162153837264,192.3471555096663
3740935724,strong,0.027144171835123798,0.019364924035528072,-0.007779247799595727,183.92524651698216,192.4152517156272
3468584905,moderate,0.022315722171738068,0.021567538456400463,-0.0007481837153376058,186.02703368354284,197.25771062883587
3468584905,strong,0.035660269055954985,0.02474937335357109,-0.010910895702383901,188.7223499955539,198.3861794608329
3627869112,moderate,0.02398896931429074,0.023072390067898168,-0.0009165792463925731,188.0240449532828,199.79319113695584
3627869112,strong,0.038471421912785055,0.035282655865112554,-0.0031887660476725,178.3827767010216,202.94933433219984
3316506436,moderate,0.019871714482302568,0.018807077323347632,-0.0010646371589549367,180.4098838075174,192.8610149050744
3316506436,strong,0.027964395131363128,0.02251335220710807,-0.005451042924255062,181.20309427561847,193.8747820849699
3791664053,moderate,0.017096791953549642,0.017810628176787573,0.0007138362232379269,188.99353658977049,196.13304135538877
3791664053,strong,0.024721609499410213,0.01713349090372096,-0.0075881185956892545,179.71895480433204,195.83467137672315
3844007312,moderate,0.018574343130359546,0.016634090825512364,-0.0019402523048471854,194.8211033399698,197.68977514604472
