seed,experiment,boundary_mean_regret,robust_mean_regret,delta
2692147715,E020,0.00336185773767925,0.00151779281765105,-0.0018440649200282
2868003838,E020,0.0033787017236595,0.0017741341551538998,-0.0016045675685056001
2739029802,E020,0.00305146185973945,0.00166608654583015,-0.0013853753139093
2680261440,E020,0.0039056057044197,0.00199618566278365,-0.0019094200416360499
2551080192,E020,0.0038283852115239,0.001899715454362,-0.0019286697571619
2502308482,E020,0.0039991506764257495,0.00159616909202045,-0.0024029815844052995
2813832570,E020,0.0033337054054114,0.0022616436883479,-0.0010720617170634997
2515829757,E020,0.0037574046644451497,0.0024375596831789498,-0.0013198449812662
2846620148,E020,0.0032554903327215497,0.0024393305907031,-0.0008161597420184496
2813910517,E020,0.003286727253484,0.00157690281867505,-0.00170982443480895
2770442952,E020,0.0036081880130921498,0.00195973333549675,-0.0016484546775953996
2889646967,E020,0.00377623904443675,0.0016123249130170002,-0.00216391413141975
2887952070,E020,0.00351709397354055,0.0016097482976357002,-0.0019073456759048498
2792686071,E020,0.0045531822574317,0.00233353718442395,-0.00221964507300775
2642654224,E020,0.0043078250579376,0.0031602482057923997,-0.0011475768521452007
2540076623,E020,0.00383906569790015,0.00142732666985915,-0.002411739028041
2688877423,E020,0.00287925330526465,0.0016147692771292,-0.0012644840281354499
2540433069,E020,0.0031999926350861005,0.0016245095708386998,-0.0015754830642474007
2706721337,E020,0.0046255269125537995,0.00256201164901945,-0.0020635152635343494
2795205179,E020,0.0029829086937813998,0.0015875081375671001,-0.0013954005562142996
2697481513,E020,0.0032235231856375,0.0014173215542497,-0.0018062016313878
2839636027,E020,0.0037492387765365497,0.0018585121347113,-0.0018907266418252498
2616235199,E020,0.00376579852579315,0.00172152382173445,-0.0020442747040587
2850690596,E020,0.0041220153631414,0.0019052605652203,-0.0022167547979211003
2644296404,E020,0.0029496147157448502,0.0016594079979224499,-0.0012902067178224004
2838963550,E020,0.0031140006696896002,0.0018348860150022,-0.0012791146546874002
2550423852,E020,0.0038608943045673498,0.0018090783630749499,-0.0020518159414924
2886865402,E020,0.00340938998996905,0.0015942337687891999,-0.00181515622117985
2795100383,E020,0.0039196051848309505,0.00133631287820455,-0.0025832923066264005
2536475534,E020,0.0036642769651147,0.0016939100966249499,-0.00197036686848975
2864048454,E020,0.00318696527929165,0.0020467104472008,-0.00114025483209085
2586607378,E020,0.00299436957850795,0.0015193055161934,-0.0014750640623145501
2584531568,E020,0.00317356242452665,0.0014937003020994001,-0.0016798621224272498
2533507419,E020,0.0032698043594932,0.00225315198998225,-0.0010166523695109499
2860342369,E020,0.0036926375141704,0.0020053141424106,-0.0016873233717598001
2735447405,E020,0.004360211007672,0.00212473963077285,-0.0022354713768991505
2599463621,E020,0.004299665936571,0.0023198648755949,-0.0019798010609761
2883336741,E020,0.0038480817042966997,0.0015709372382595001,-0.0022771444660371993
2769988615,E020,0.00363914103845475,0.0019237069931531,-0.00171543404530165
2688569831,E020,0.00374486029542795,0.00177221502790415,-0.0019726452675238
2628745584,E020,0.00469958652435635,0.0020590628269405,-0.0026405236974158504
2771279702,E020,0.0038207884622292,0.0018308851712945501,-0.00198990329093465
2779047312,E020,0.00432637632202525,0.00318837209211765,-0.0011380042299076
2724652561,E020,0.0037918230202828003,0.00178723823493385,-0.00200458478534895
2769788379,E020,0.0037980370529126003,0.0018133647490183001,-0.0019846723038943
2606537751,E020,0.00304437057072795,0.00211026859641175,-0.0009341019743161999
2765363822,E020,0.0036649677977080497,0.0018599023102402498,-0.0018050654874677999
2769739939,E020,0.00334396635541065,0.0014032343656981499,-0.0019407319897125001
2657062769,E020,0.00343096875033395,0.0017992578174284,-0.0016317109329055499
2684609051,E020,0.0036580785791473997,0.0013777796584478,-0.0022802989206996
2625051644,E020,0.0032991637802416,0.0016104791716797,-0.0016886846085619
