seed,mse_mean_D,control_mean_D,delta_mean_D
1488279783,0.021633534476286003,0.02130462836271425,-0.00032890611357175303
685639645,0.0233634256129854,0.021679519810560027,-0.001683905802425372
962742503,0.02374792158017077,0.02226808450741731,-0.0014798370727534607
869745058,0.022204654375933636,0.022672296817446938,0.00046764244151330236
1315992231,0.02170888441079724,0.02140034747491401,-0.00030853693588323017
941073737,0.022040849288639138,0.020644294135355953,-0.0013965551532831855
1411404277,0.022828540654483635,0.022037934694967076,-0.0007906059595165597
1469351291,0.022162871613697965,0.02212387438369928,-3.899722999868571e-05
308606681,0.023242590739634295,0.02291486317794089,-0.00032772756169340694
260736158,0.02187953479888511,0.021522653680662113,-0.00035688111822299723
743678570,0.022380031484220207,0.021743761485250656,-0.0006362699989695512
365554257,0.02331331004832209,0.022093833793054313,-0.0012194762552677763
1500137520,0.02307252916911621,0.021909794684812932,-0.0011627344843032766
1212157452,0.022730100578971645,0.021803527786759203,-0.000926572792212442
1978800389,0.0221357930184452,0.02135085189232588,-0.0007849411261193207
1789435814,0.024226139453425242,0.02263665923796946,-0.0015894802154557824
855969822,0.023537797912861463,0.0223466847009053,-0.0011911132119561615
980066881,0.022839510021120252,0.02173999316398185,-0.0010995168571384002
1124943942,0.023833956670495836,0.02247363368507754,-0.0013603229854182962
662413080,0.022202073704610664,0.021118439841246537,-0.0010836338633641272
662868457,0.022848842073569412,0.022186988334249366,-0.0006618537393200466
1749945741,0.02215973308321413,0.021142030676832207,-0.0010177024063819234
1241452385,0.02250876909605023,0.022032315179118425,-0.00047645391693180647
72639054,0.023001933841351692,0.021896836621646622,-0.0011050972197050694
1183329859,0.023384559414958418,0.022381571624258276,-0.001002987790700141
744811250,0.022376498967680226,0.021364075964611855,-0.0010124230030683704
1735719926,0.023120877689702998,0.021458744729954394,-0.0016621329597486037
338634011,0.023210250317548854,0.021655289671914726,-0.001554960645634127
1777327961,0.022605440048194588,0.02219677696696791,-0.00040866308122667824
1722711439,0.022699525452124957,0.02206020104257843,-0.0006393244095465288
1675116625,0.021936478996289685,0.020760273251004255,-0.0011762057452854302
1194826469,0.02217271116627801,0.02119183331334882,-0.0009808778529291906
274400783,0.022396176581467486,0.021812454945899812,-0.0005837216355676737
971057595,0.022410020054396775,0.02183740906766017,-0.0005726109867366033
1428282260,0.02329113497598536,0.022608364848296536,-0.000682770127688824
364046139,0.02251756821797766,0.02163148777514139,-0.0008860804428362686
1740615999,0.02265938244307812,0.022024441195252376,-0.000634941247825746
1146998008,0.022650532091065115,0.021814645402090094,-0.0008358866889750204
1413671675,0.022887916345605566,0.022219496532476516,-0.0006684198131290502
693290162,0.021911685492741913,0.020914249290304637,-0.0009974362024372761
1399254090,0.02334074506144357,0.021262631491043304,-0.0020781135704002647
1062388642,0.02221150760504679,0.021809054872237478,-0.0004024527328093108
1260009693,0.0234876568915224,0.022834635606739075,-0.0006530212847833256
228660172,0.02214753499075389,0.02155403376382895,-0.0005935012269249369
741642406,0.022741175792692463,0.02108236072542292,-0.0016588150672695416
255962401,0.02320780079279058,0.021105085196174284,-0.002102715596616296
