seed,method,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
518339255,control_aware,0.02194791250114985,0.05384748835110333,0.9325,0.0,0.4825,201.7112242068913
518339255,mse,0.022409607807939033,0.05439463642638431,0.93,0.0,0.5125,196.81625583601544
1486440433,control_aware,0.021052047178055533,0.05021350051644188,0.9475,0.0,0.4825,210.14673767055416
1486440433,mse,0.022453061188327697,0.053563755778753275,0.93,0.0,0.4875,214.50668478542
1747933378,control_aware,0.021689742785631242,0.048926946668858225,0.95,0.0,0.5425,195.09221746465516
1747933378,mse,0.023165773512726688,0.057275646087049395,0.92,0.0,0.5425,196.13116799074763
1418466092,control_aware,0.02161619528433489,0.052440548545963236,0.9425,0.0,0.535,207.17165556880906
1418466092,mse,0.022759769776670286,0.05632833992231293,0.9175,0.0,0.515,205.4300799357644
1624805152,control_aware,0.022276792380011984,0.05255500968809174,0.9375,0.0,0.475,203.7718700215343
1624805152,mse,0.02240789085511569,0.05226579481667454,0.9375,0.0,0.5175,200.55720486231004
1375966000,control_aware,0.02217406712459857,0.053919048344083044,0.9275,0.0,0.4825,202.24787990244107
1375966000,mse,0.022963929513480662,0.05517675865529738,0.9225,0.0,0.5275,201.14840258488096
1687551834,control_aware,0.02223688476151441,0.05595929645853237,0.925,0.0,0.5275,205.8022775762436
1687551834,mse,0.022357813192074624,0.054776119122403044,0.935,0.0,0.5025,206.2325565885801
531449467,control_aware,0.02080337019731579,0.0505843433504798,0.9425,0.0,0.5,204.69502749535332
531449467,mse,0.022670115046839488,0.05526442143523696,0.9375,0.0,0.48,206.00921358645536
918088976,control_aware,0.022157618507813625,0.056388990522831445,0.915,0.0,0.455,206.80016833698346
918088976,mse,0.021905472233595305,0.054488243016079574,0.94,0.0,0.4925,204.53150708070996
781073890,control_aware,0.020713634775212538,0.04857343250683662,0.9525,0.0,0.53,207.29996279881678
781073890,mse,0.02172929930798911,0.0504125101796816,0.9475,0.0,0.5025,205.51440682108472
1817826113,control_aware,0.02247253073557423,0.05444413797880566,0.93,0.0,0.495,197.23219503718641
1817826113,mse,0.023473016320467405,0.0584505232027683,0.9225,0.0,0.5425,197.06605773781894
1923718209,control_aware,0.021516819506728152,0.051097601257723224,0.94,0.0,0.4925,203.49992582801698
1923718209,mse,0.022155759059964232,0.05203363142615689,0.9375,0.0,0.55,201.96378381224815
584493222,control_aware,0.02159342149768715,0.052012072570280427,0.94,0.0,0.5175,204.80544226846345
584493222,mse,0.022451285623812343,0.05518761885252067,0.9325,0.0,0.5525,202.76564987273383
954794345,control_aware,0.021552261753921977,0.054459217163371404,0.9325,0.0,0.48,204.0993131978358
954794345,mse,0.022284429947902966,0.054462292110000074,0.935,0.0,0.5025,206.41955276856675
1109085272,control_aware,0.02232431086643376,0.05654045192926865,0.9125,0.0,0.5375,200.134497835022
1109085272,mse,0.023039003418304716,0.055011021348117896,0.9325,0.0,0.5075,198.16265329962033
825284871,control_aware,0.02255885250083753,0.05475181151220289,0.9225,0.0,0.4925,198.30680083509785
825284871,mse,0.023224184392261576,0.055065237835852106,0.925,0.0025,0.52,198.61125353912564
1645729774,control_aware,0.02189254110720112,0.05294625470872192,0.935,0.0,0.505,203.41063372984402
1645729774,mse,0.02179460102154968,0.05452737758389408,0.9275,0.0,0.555,201.5499093593108
34563576,control_aware,0.02285553339971355,0.05875252517992135,0.9175,0.0,0.5175,202.95414713672903
34563576,mse,0.023224454412344126,0.05252181933228694,0.925,0.0,0.515,203.7407917670686
1142149615,control_aware,0.0221951297453062,0.051930586580172224,0.93,0.0,0.48,203.91314669054907
1142149615,mse,0.022580249259572378,0.053722351266380336,0.9275,0.0,0.5225,203.17715972331064
950382055,control_aware,0.022218074065443343,0.05727391387373851,0.9275,0.0,0.52,202.39010515574716
950382055,mse,0.023326683441358406,0.05784767479840025,0.9125,0.0,0.5375,200.97250263456144
428740973,control_aware,0.021308348071135387,0.050764262325580144,0.9425,0.0,0.4875,206.83074890131664
428740973,mse,0.022443842050173694,0.05839781664107831,0.92,0.0,0.495,208.3186229380036
768890311,control_aware,0.021225509974531532,0.0546917572350986,0.935,0.0,0.4875,205.45930889914547
768890311,mse,0.021681091747347007,0.05076908375021887,0.9475,0.0,0.5175,206.39919071174498
1547818626,control_aware,0.021437582990763895,0.052015185728062935,0.9475,0.0,0.4975,203.7022991718494
1547818626,mse,0.022690754445504932,0.05437046965315434,0.9375,0.0,0.5575,203.12362632052628
1854365277,control_aware,0.02076178943298644,0.049382274703481645,0.9575,0.0,0.495,207.658644548508
1854365277,mse,0.023156593683184405,0.053964245756244096,0.9275,0.0,0.5125,207.38578958715664
1222441384,control_aware,0.021996217671254276,0.05137067042918592,0.9425,0.0,0.4975,202.57993761011804
1222441384,mse,0.02335171900050516,0.05720063866207072,0.9275,0.0,0.5025,204.58707424011624
878440171,control_aware,0.022395808620046472,0.05390263453971368,0.9175,0.0,0.5525,194.9438760062494
878440171,mse,0.024310597397618778,0.06298862096142664,0.9075,0.0,0.5475,195.52673535728104
736194822,control_aware,0.02232545748520355,0.05536011545636642,0.925,0.0,0.49,203.40650079070812
736194822,mse,0.02234948789898824,0.05403233064186387,0.9325,0.0,0.54,202.72047173325316
1766423682,control_aware,0.021041763137560992,0.051085491318936395,0.945,0.0,0.515,199.81950561550605
1766423682,mse,0.022446202904933408,0.05314680070938225,0.9325,0.0,0.5575,200.72969817837748
1488279783,control_aware,0.02130462836271425,0.05360361547225678,0.9425,0.0,0.505,208.68733716894636
1488279783,mse,0.021633534476286003,0.05161212463402227,0.9375,0.0,0.53,206.98052532277472
685639645,control_aware,0.021679519810560027,0.053346179854485726,0.9275,0.0,0.5125,203.8085445972414
685639645,mse,0.0233634256129854,0.056721821626494986,0.925,0.0,0.505,201.57962401701855
962742503,control_aware,0.02226808450741731,0.05559254834314157,0.9275,0.0,0.5025,203.14857238773845
962742503,mse,0.02374792158017077,0.060316571123077804,0.91,0.0,0.5625,204.86996454886406
869745058,control_aware,0.022672296817446938,0.053929805396596316,0.925,0.0,0.49,200.06588255713635
869745058,mse,0.022204654375933636,0.05383333687968244,0.93,0.0,0.525,201.61036943045073
1315992231,control_aware,0.02140034747491401,0.04937240079879748,0.9575,0.0,0.4875,205.20910013930714
1315992231,mse,0.02170888441079724,0.054405962460173644,0.9275,0.0,0.5375,205.81911217487612
941073737,control_aware,0.020644294135355953,0.05036047896131368,0.945,0.0,0.5425,203.88387798121482
941073737,mse,0.022040849288639138,0.052010673214240494,0.94,0.0,0.525,204.0437880706889
1411404277,control_aware,0.022037934694967076,0.056541853475359616,0.935,0.0,0.535,202.97351605902844
1411404277,mse,0.022828540654483635,0.05606438742986057,0.925,0.0,0.57,203.29533991717523
1469351291,control_aware,0.02212387438369928,0.054881682658080126,0.925,0.0,0.5425,196.21734599107782
1469351291,mse,0.022162871613697965,0.05325157583241846,0.9375,0.0,0.5275,196.11028063493384
