seed,experiment,method,condition,mean_regret,p95_regret,action_agreement,mean_gap,q1_regret,q1_agreement,q2_regret,q2_agreement,q3_regret,q3_agreement,q4_regret,q4_agreement
2540470214,E020,robust_control_aware,strong,0.0039087263699970915,0.016375456590735794,0.39545454545454545,0.0037502390791779145,0.0019201410129453275,0.3090909090909091,0.003144902306070221,0.32727272727272727,0.0029678792216959802,0.45454545454545453,0.007601982939276838,0.4909090909090909
2540470214,E031,boundary_aware,moderate,0.004533943846266161,0.015291868731176684,0.3409090909090909,0.0037502390791779145,0.0025727298941640897,0.3090909090909091,0.0040489089303867055,0.3090909090909091,0.004296164264242978,0.34545454545454546,0.00721797229627087,0.4
2540470214,E031,boundary_aware,strong,0.005823891941178228,0.02348357482746256,0.2818181818181818,0.0037502390791779145,0.004153312264205122,0.23636363636363636,0.004208029222082783,0.3090909090909091,0.0052860843435894945,0.2909090909090909,0.009648141934835508,0.2909090909090909
2540470214,E031,robust_control_aware,moderate,0.0033148019375716987,0.01155967699463991,0.42727272727272725,0.0037502390791779145,0.0013714021402563374,0.4,0.004066048224692381,0.2909090909090909,0.0036118662104849203,0.38181818181818183,0.004209891174853156,0.6363636363636364
2540470214,E031,robust_control_aware,strong,0.00472610425057404,0.01542881897760975,0.35909090909090907,0.0037502390791779145,0.002825011353374689,0.32727272727272727,0.004720147038537907,0.2909090909090909,0.0047119617456733666,0.34545454545454546,0.006647296864710199,0.4727272727272727
2694695743,E020,boundary_aware,moderate,0.0032407362500928008,0.011540030283871384,0.42727272727272725,0.0036300628015153396,0.0017033462057029888,0.34545454545454546,0.002562789804733664,0.41818181818181815,0.003571230766893384,0.43636363636363634,0.005125578223041165,0.509090909090909
2694695743,E020,boundary_aware,strong,0.005410375121892974,0.019620114385924863,0.32727272727272727,0.0036300628015153396,0.0033611691671781457,0.2727272727272727,0.003782576758528525,0.38181818181818183,0.004299407342263618,0.38181818181818183,0.01019834721960161,0.2727272727272727
2694695743,E020,robust_control_aware,moderate,0.0012387642761360917,0.005779659610367008,0.6363636363636364,0.0036300628015153396,0.001336995208277195,0.4,0.0010901973479552987,0.5818181818181818,0.0016766355935345385,0.6363636363636364,0.0008512289547773342,0.9272727272727272
2694695743,E020,robust_control_aware,strong,0.0028393012957382583,0.010919915628658277,0.4863636363636364,0.0036300628015153396,0.0019657653145486145,0.36363636363636365,0.0024659769900358527,0.41818181818181815,0.002755287239866343,0.5454545454545454,0.004170175638502222,0.6181818181818182
2694695743,E031,boundary_aware,moderate,0.0046010870590870515,0.016374631505459526,0.35909090909090907,0.0036300628015153396,0.002923072847766001,0.43636363636363634,0.0030872698219729386,0.34545454545454546,0.0055247455000211896,0.2,0.00686926006658808,0.45454545454545453
