seed,boundary_stress_mean_D,robust_control_stress_mean_D,delta
1530323167,0.026981493938389427,0.020110722054029917,-0.0068707718843595104
1709400583,0.0245663515139751,0.017024160461713414,-0.007542191052261685
1133912448,0.024231412192171987,0.017833739511043292,-0.006397672681128695
3841604218,0.028769224679028198,0.023101400088659303,-0.0056678245903688945
1476672215,0.027481418889759815,0.023985572504399037,-0.0034958463853607784
884250997,0.029553868726070992,0.028322005594538575,-0.0012318631315324166
1002348142,0.02514285419573499,0.019193208898032298,-0.005949645297702692
1627011397,0.01836805413196935,0.01850864062592853,0.00014058649395918069
1076126967,0.023856548608506473,0.019747140503826456,-0.0041094081046800165
923743962,0.02815431325165236,0.02327144887845428,-0.004882864373198077
3894377936,0.020578157818787475,0.017040643924953004,-0.003537513893834471
1825409742,0.023123789117414646,0.01794779368941182,-0.005175995428002827
907752744,0.029288780966809275,0.02137692902443515,-0.007911851942374124
1662780807,0.02195485864294902,0.01893163310567201,-0.003023225537277012
2121423049,0.023502161889324743,0.01851816179971177,-0.004984000089612972
3968988679,0.02519983192696692,0.020237126233866462,-0.004962705693100457
1493249476,0.024937994173934695,0.02240937971157659,-0.002528614462358105
1567049265,0.02437991162804417,0.020214573790650392,-0.0041653378373937774
1443871119,0.025728585680834283,0.023022265960678506,-0.0027063197201557775
207789827,0.024861061062403544,0.019323462197724146,-0.005537598864679399
2665534169,0.025226141808524984,0.021490563178615772,-0.0037355786299092114
3207734048,0.024020618729987418,0.019211203255632782,-0.004809415474354636
659579441,0.01998548491434666,0.02075975333902623,0.0007742684246795709
1831990360,0.026613361491395107,0.01968200890674083,-0.006931352584654278
575250115,0.022664081630544262,0.019678433360928126,-0.0029856482696161354
3743157485,0.024231106013546777,0.019348026765246024,-0.0048830792483007535
1796461005,0.027258487152323894,0.022452153463830508,-0.004806333688493387
4057262831,0.029290311944135002,0.021340318574772497,-0.007949993369362505
3530410642,0.024152257432751026,0.018743115495028814,-0.005409141937722212
668701307,0.029776239980365538,0.02136913706619433,-0.008407102914171207
2440047106,0.0249759692591593,0.018439919859262043,-0.006536049399897256
3736759803,0.02863984414394056,0.0231510246582559,-0.005488819485684658
15234333,0.024996776248968566,0.018712699853117187,-0.006284076395851379
667584176,0.027386160048350237,0.019216337260967144,-0.008169822787383093
4066184225,0.026267159956264302,0.023321826311270753,-0.0029453336449935495
1886451804,0.025933119675610843,0.01850095692864358,-0.0074321627469672615
2272934004,0.02215905923379867,0.017117727886586706,-0.005041331347211964
938779823,0.03262019477067247,0.021875724829505637,-0.010744469941166832
2703660895,0.03096974716598905,0.02176444176413836,-0.009205305401850692
2525182596,0.027219297261394826,0.021853732945502316,-0.00536556431589251
4018511418,0.024109073585420453,0.022881748596589133,-0.0012273249888313208
1772851305,0.02979685209221613,0.02251883882669925,-0.007278013265516879
2235246993,0.038795611178993356,0.030050347130298194,-0.008745264048695162
2430720536,0.027648842947167768,0.021198469025456204,-0.0064503739217115635
628175963,0.023499910177303743,0.018652381453062167,-0.004847528724241577
299474548,0.027307064109706222,0.020032597446580515,-0.007274466663125707
1273168757,0.02357492438661371,0.01899614882241514,-0.00457877556419857
273733572,0.02524415395715109,0.021110506871103593,-0.004133647086047496
3144435095,0.02954286967495729,0.023542592284809843,-0.006000277390147447
2633701326,0.029720760355982263,0.02244475337316118,-0.007276006982821083
4211238376,0.028819658012273597,0.020728927472109124,-0.008090730540164473
1111838367,0.024195403113649566,0.018941748926241078,-0.005253654187408488
3524972486,0.026385569626001852,0.019749711013634947,-0.006635858612366905
3560542704,0.023713331373791915,0.02053038933840498,-0.003182942035386934
3731969181,0.02425023538079906,0.020034942160722866,-0.004215293220076195
1211268588,0.023985146516844087,0.020998279006815723,-0.002986867510028364
592709181,0.027017752004154398,0.025494683501041962,-0.001523068503112436
1007944539,0.02193744622968932,0.019696128702820767,-0.002241317526868552
2619667409,0.023493897911393266,0.021012066516429707,-0.0024818313949635587
1380973866,0.027253049161870123,0.020621053451966645,-0.006631995709903478
2991984838,0.02531831991821059,0.022789341630717955,-0.002528978287492635
3888342105,0.022747261244362924,0.01924402116522737,-0.0035032400791355535
961152600,0.02766415113734975,0.021505151609102855,-0.006158999528246896
1122170712,0.025624951428339468,0.021689916177120423,-0.0039350352512190455
869103479,0.02155078430091291,0.018263242137851715,-0.003287542163061194
3388555971,0.02470900049065064,0.02214860349976558,-0.002560396990885061
665427334,0.023345330356443567,0.019440013160531497,-0.0039053171959120697
3359940053,0.024226419548014952,0.019373070691588015,-0.004853348856426937
3768241039,0.025321879074942537,0.01981843441154175,-0.005503444663400785
615465185,0.022173092914234013,0.018269200670281156,-0.003903892243952857
4062591317,0.027526877221521414,0.021494570463487565,-0.006032306758033849
2237893018,0.028850378655628187,0.020905272291560004,-0.007945106364068182
3266084952,0.028423023035968664,0.02508229401690132,-0.0033407290190673455
1411004866,0.022500869065060075,0.019211357473204457,-0.0032895115918556185
720401177,0.02247808064420054,0.017296880681826735,-0.0051811999623738066
842612503,0.027056838468890974,0.020232919547699582,-0.006823918921191392
333431731,0.030539257565405757,0.022162599183108322,-0.008376658382297435
1545097157,0.023489594485137443,0.01982247948442392,-0.0036671150007135216
1736380347,0.030515329670868604,0.026438639516936546,-0.004076690153932059
