seed,noise_aware_mse,control_aware_rank,delta
902363,5.5080368982868855,4.055640015424053,-1.4523968828628329
902442,7.968530611395927,4.241464478103431,-3.727066133292496
925207,9.56772835541161,1.5525735385050157,-8.015154816906595
927435,7.934693385067865,4.8445836264632645,-3.0901097586046005
933056,8.6142049935382,4.9583186952783596,-3.6558862982598406
935563,11.219697719319198,8.959959588282857,-2.2597381310363414
940007,10.612130630884321,0.493798490904768,-10.118332139979554
944166,9.158816717494165,3.2317916923758654,-5.9270250251183
944171,7.805354696346653,0.3969692680567653,-7.408385428289887
954161,6.817954330053549,9.33005504323322,2.51210071317967
960545,5.853531680249253,10.090739758205792,4.23720807795654
961172,7.038026788241228,0.0304973684001533,-7.007529419841075
966117,10.27369503524884,4.1808024773503,-6.092892557898541
971608,8.544880296468904,2.0983317853654118,-6.446548511103492
975684,10.094352482801487,4.87374260515155,-5.220609877649936
977644,7.335128129445824,0.04356785068404505,-7.291560278761779
